sexo,idade,peso,altura,nivel,dias_disponiveis,tempo_disponivel,split
F,43,86.4,1.93,intermediario,4,50,Full Body 4x
F,24,56.3,1.81,avancado,4,40,Full Body 4x
F,30,79.6,1.91,avancado,4,70,Upper/Lower 2x
M,26,82.5,1.54,intermediario,3,60,Full Body 3x
M,22,90.8,1.73,intermediario,6,70,Arnold Split
M,47,104.7,1.9,avancado,4,60,Upper/Lower 2x
F,22,51.2,1.7,intermediario,4,80,Upper/Lower 2x
M,37,100.9,1.98,intermediario,6,80,Arnold Split
F,45,84.0,1.74,iniciante,5,50,Upper/Lower 3x + Full Body
M,26,118.8,1.99,iniciante,4,80,Upper/Lower 2x
M,35,104.0,1.65,avancado,5,70,Bro Split
M,41,101.6,1.83,intermediario,4,50,Full Body 4x
F,59,47.9,1.59,avancado,5,50,Lower Focus (LULUL)
F,41,57.1,1.95,avancado,6,80,PPL 2x
M,27,89.6,1.64,intermediario,6,60,Upper/Lower 3x
M,49,86.6,1.66,avancado,5,70,Bro Split
F,40,52.4,1.94,iniciante,6,50,PPL 2x
F,41,78.2,1.61,avancado,6,70,PPL 2x
F,31,81.5,1.9,iniciante,5,60,Upper/Lower 3x + Full Body
M,21,115.9,1.83,intermediario,6,90,Arnold Split
M,27,91.8,1.96,iniciante,6,60,PPL 2x
M,37,92.5,1.69,avancado,5,60,Bro Split
M,35,58.9,1.9,avancado,3,60,PPL 1x
M,32,98.3,1.54,avancado,6,40,Upper/Lower 3x
M,44,64.7,1.54,iniciante,4,70,Upper/Lower 2x
F,32,68.1,1.78,intermediario,3,70,Full Body 3x
M,35,59.8,1.71,avancado,4,40,Full Body 4x
M,38,63.6,1.83,intermediario,3,60,Full Body 3x
F,29,77.4,1.71,iniciante,4,80,Upper/Lower 2x
F,42,55.2,1.8,intermediario,6,60,Upper/Lower 3x
F,25,54.1,1.56,iniciante,3,70,Full Body 3x
M,30,105.3,1.74,intermediario,5,70,Bro Split
F,33,69.0,1.86,iniciante,6,90,PPL 2x
F,33,60.5,1.83,intermediario,6,60,Upper/Lower 3x
F,33,91.2,1.94,iniciante,4,60,Upper/Lower 2x
M,30,71.7,1.67,iniciante,4,60,Upper/Lower 2x
F,42,55.0,1.79,intermediario,5,70,Lower Focus (LULUL)
F,39,67.1,1.55,intermediario,5,50,Lower Focus (LULUL)
M,42,75.9,1.52,intermediario,6,70,PPL 2x
F,25,50.5,1.76,intermediario,4,60,Full Body 4x
M,26,110.5,1.81,avancado,5,70,UL PPL
F,30,65.7,1.72,iniciante,5,70,Upper/Lower 3x + Full Body
F,52,82.3,1.65,iniciante,3,70,Full Body 3x
M,28,80.7,1.96,intermediario,4,80,Upper/Lower 2x
F,58,58.8,1.73,iniciante,5,80,Upper/Lower 3x + Full Body
M,27,64.5,1.52,iniciante,6,50,PPL 2x
M,44,119.2,1.83,intermediario,5,40,Bro Split
M,24,119.9,1.88,intermediario,3,70,Full Body 3x
F,23,83.1,1.74,iniciante,5,50,Upper/Lower 3x + Full Body
F,40,63.5,1.74,intermediario,4,40,Full Body 4x
F,18,58.9,1.72,iniciante,3,50,Full Body 3x
M,39,108.5,1.57,intermediario,5,50,Bro Split
M,46,102.7,1.73,avancado,5,60,Bro Split
M,38,76.5,1.67,intermediario,6,90,PPL 2x
F,37,93.5,1.54,intermediario,4,80,Upper/Lower 2x
F,27,72.6,1.59,intermediario,6,60,Upper/Lower 3x
M,22,115.7,1.78,iniciante,4,60,Upper/Lower 2x
F,25,52.9,1.84,iniciante,4,50,Full Body 4x
M,33,72.2,1.6,iniciante,5,50,Upper/Lower 3x + Full Body
F,33,70.2,1.85,avancado,6,70,PPL 2x
M,36,57.1,1.9,avancado,5,70,Bro Split
F,54,64.1,1.79,iniciante,3,70,Full Body 3x
F,61,89.5,1.53,iniciante,3,60,Full Body 3x
M,50,65.1,1.77,avancado,5,80,Bro Split
F,24,66.1,1.67,intermediario,5,70,Lower Focus (LULUL)
M,45,67.9,1.57,avancado,4,40,Full Body 4x
F,18,65.1,2.0,iniciante,3,50,Full Body 3x
F,26,65.4,1.72,intermediario,3,70,Full Body 3x
F,32,63.3,1.91,intermediario,6,50,Upper/Lower 3x
F,34,82.5,1.66,avancado,3,50,PPL 1x
M,40,58.6,1.97,iniciante,4,70,Upper/Lower 2x
F,37,85.8,1.59,iniciante,5,70,Upper/Lower 3x + Full Body
M,59,58.0,1.77,intermediario,3,40,Full Body 3x
M,43,98.0,1.57,iniciante,5,40,Upper/Lower 3x + Full Body
F,48,90.8,1.63,avancado,6,70,PPL 2x
F,59,77.1,1.85,iniciante,5,60,Upper/Lower 3x + Full Body
M,39,115.2,1.53,intermediario,4,60,Full Body 4x
M,56,106.3,1.73,iniciante,3,50,Full Body 3x
M,29,107.2,1.79,intermediario,6,60,Upper/Lower 3x
F,36,90.7,1.86,iniciante,4,60,Upper/Lower 2x
F,39,73.7,1.97,avancado,3,50,PPL 1x
M,22,62.7,1.73,intermediario,4,70,Upper/Lower 2x
F,63,85.4,1.87,iniciante,3,60,Full Body 3x
F,20,59.6,1.52,intermediario,4,70,Upper/Lower 2x
F,30,79.7,1.59,iniciante,3,60,Full Body 3x
M,25,113.8,1.97,intermediario,4,50,Full Body 4x
M,33,56.4,1.93,iniciante,3,60,Full Body 3x
F,31,79.3,1.63,avancado,6,80,Arnold Split
M,25,103.1,1.5,intermediario,4,50,Full Body 4x
F,28,67.1,1.95,iniciante,6,60,PPL 2x
F,38,45.6,1.73,avancado,3,80,PPL 1x
F,39,83.3,1.84,iniciante,5,50,Upper/Lower 3x + Full Body
F,42,57.9,1.85,iniciante,6,70,PPL 2x
F,26,65.7,1.63,intermediario,6,60,Upper/Lower 3x
M,47,114.3,1.78,iniciante,3,80,Full Body 3x
M,30,64.2,1.8,iniciante,5,70,Upper/Lower 3x + Full Body
M,56,93.5,1.56,iniciante,6,50,PPL 2x
F,24,60.8,1.83,intermediario,4,60,Full Body 4x
M,33,97.0,1.59,intermediario,5,70,Bro Split
M,59,83.0,1.54,intermediario,3,70,Full Body 3x
M,36,67.6,1.86,iniciante,3,40,Full Body 3x
M,37,100.8,1.58,avancado,3,50,PPL 1x
M,24,105.8,1.69,iniciante,3,70,Full Body 3x
F,36,72.2,1.77,avancado,5,80,Lower Focus (LULUL)
M,23,89.5,1.63,intermediario,6,60,Upper/Lower 3x
M,28,109.4,1.84,iniciante,6,50,PPL 2x
F,56,67.1,1.76,iniciante,5,60,Upper/Lower 3x + Full Body
F,46,76.9,1.64,avancado,5,70,Upper/Lower 2x + Full Body
F,23,81.2,1.61,intermediario,3,70,Full Body 3x
F,43,85.4,1.59,iniciante,3,60,Full Body 3x
F,21,53.2,1.63,iniciante,3,60,Full Body 3x
M,34,60.9,1.93,intermediario,6,70,PPL 2x
F,38,73.8,1.76,intermediario,4,50,Full Body 4x
M,36,69.3,1.72,intermediario,4,70,Upper/Lower 2x
F,21,91.8,1.87,intermediario,4,60,Full Body 4x
M,25,55.3,1.82,iniciante,4,60,Upper/Lower 2x
M,53,90.7,1.5,intermediario,4,80,Upper/Lower 2x
M,50,97.9,1.78,intermediario,3,60,Full Body 3x
F,36,53.2,1.73,intermediario,4,80,Upper/Lower 2x
M,25,112.3,1.75,avancado,4,50,Full Body 4x
M,34,87.9,1.82,avancado,6,50,Upper/Lower 3x
M,33,83.2,1.65,avancado,3,90,PPL 1x
M,25,68.1,1.61,intermediario,3,70,Full Body 3x
M,50,77.7,1.59,intermediario,3,60,Full Body 3x
M,29,81.4,1.95,intermediario,3,70,Full Body 3x
F,32,86.3,1.58,intermediario,3,80,Full Body 3x
M,48,105.1,1.81,intermediario,6,90,Arnold Split
M,23,77.9,1.8,intermediario,4,60,Full Body 4x
F,28,53.9,1.84,avancado,4,70,Upper/Lower 2x
F,31,71.7,1.88,intermediario,5,70,Lower Focus (LULUL)
F,22,67.4,1.65,intermediario,4,60,Full Body 4x
F,26,78.6,1.81,iniciante,6,70,PPL 2x
M,53,83.9,1.81,iniciante,6,60,PPL 2x
F,64,48.1,1.72,intermediario,6,40,Upper/Lower 3x
F,17,60.3,1.84,iniciante,5,70,Upper/Lower 3x + Full Body
F,50,65.3,1.54,intermediario,5,50,Upper/Lower 2x + Full Body
F,33,86.9,1.76,intermediario,4,60,Full Body 4x
M,38,119.8,1.65,intermediario,3,60,Full Body 3x
M,29,98.1,1.76,intermediario,3,60,Full Body 3x
M,25,65.7,1.57,intermediario,6,60,Upper/Lower 3x
M,37,56.2,1.77,iniciante,5,60,Upper/Lower 3x + Full Body
M,23,55.0,1.94,intermediario,4,80,Upper/Lower 2x
F,48,69.1,1.83,intermediario,4,70,Upper/Lower 2x
F,44,86.7,1.87,iniciante,5,60,Upper/Lower 3x + Full Body
M,51,64.7,1.98,avancado,3,40,Full Body 3x
F,26,81.0,1.88,intermediario,5,70,Lower Focus (LULUL)
F,18,64.4,1.55,iniciante,4,80,Upper/Lower 2x
F,62,66.6,1.78,intermediario,6,80,PPL 2x
M,55,89.5,1.58,avancado,3,40,Full Body 3x
M,40,82.8,1.94,iniciante,4,60,Upper/Lower 2x
F,28,51.6,1.8,iniciante,6,60,PPL 2x
F,30,72.9,1.96,avancado,5,50,Lower Focus (LULUL)
F,57,52.1,1.89,iniciante,5,70,Upper/Lower 3x + Full Body
F,32,51.8,1.97,avancado,4,80,Upper/Lower 2x
M,25,76.6,1.61,intermediario,5,60,Bro Split
F,19,60.4,1.95,iniciante,5,70,Upper/Lower 3x + Full Body
M,29,94.1,1.66,iniciante,4,60,Upper/Lower 2x
F,29,86.5,1.98,iniciante,5,50,Upper/Lower 3x + Full Body
M,24,55.2,1.62,iniciante,4,80,Upper/Lower 2x
M,57,115.4,1.89,iniciante,4,70,Upper/Lower 2x
M,33,82.7,1.64,intermediario,4,70,Upper/Lower 2x
F,37,72.7,1.59,intermediario,5,50,Lower Focus (LULUL)
M,50,101.3,1.66,intermediario,5,60,Bro Split
F,39,48.3,1.67,iniciante,3,60,Full Body 3x
F,38,67.4,1.65,intermediario,5,70,Lower Focus (LULUL)
M,30,74.3,1.94,intermediario,5,50,Bro Split
F,47,51.0,1.79,intermediario,6,50,Upper/Lower 3x
M,28,57.4,1.62,intermediario,3,50,Full Body 3x
M,23,82.4,1.94,iniciante,4,50,Full Body 4x
M,40,82.8,1.52,intermediario,4,80,Upper/Lower 2x
F,37,84.7,1.74,intermediario,3,60,Full Body 3x
M,37,75.5,1.53,iniciante,6,70,PPL 2x
M,32,115.2,1.86,intermediario,3,50,Full Body 3x
M,37,78.2,1.84,iniciante,5,80,Upper/Lower 3x + Full Body
F,35,67.1,1.69,iniciante,6,70,PPL 2x
F,21,56.2,1.91,iniciante,5,80,Upper/Lower 3x + Full Body
F,39,58.1,1.95,iniciante,3,70,Full Body 3x
F,23,69.0,1.79,intermediario,4,80,Upper/Lower 2x
F,42,53.2,1.85,intermediario,6,70,PPL 2x
F,28,53.5,1.65,iniciante,5,70,Upper/Lower 3x + Full Body
F,57,74.1,1.72,intermediario,5,80,Upper/Lower 2x + Full Body
F,53,76.8,1.79,avancado,4,80,Upper/Lower 2x
M,44,66.6,1.54,intermediario,6,70,PPL 2x
M,39,108.3,1.65,intermediario,6,80,Arnold Split
F,33,82.5,1.76,avancado,5,80,Upper/Lower 2x + Full Body
F,48,84.7,1.6,intermediario,4,60,Full Body 4x
M,31,60.4,1.86,intermediario,4,60,Full Body 4x
F,30,87.4,1.56,iniciante,4,70,Upper/Lower 2x
M,64,72.9,1.96,intermediario,3,70,Full Body 3x
M,39,109.2,1.72,intermediario,5,60,Bro Split
F,37,91.2,1.79,iniciante,5,40,Upper/Lower 3x + Full Body
F,49,82.2,1.77,iniciante,6,90,PPL 2x
F,18,54.8,1.84,iniciante,3,50,Full Body 3x
M,27,55.7,1.98,intermediario,6,60,Upper/Lower 3x
F,40,62.5,1.62,intermediario,3,70,Full Body 3x
M,29,110.6,1.86,iniciante,5,40,Upper/Lower 3x + Full Body
M,24,101.5,1.6,iniciante,5,80,Upper/Lower 3x + Full Body
F,47,55.3,1.88,iniciante,6,40,PPL 2x
F,42,73.4,1.6,iniciante,3,70,Full Body 3x
F,39,93.8,1.99,avancado,6,40,Upper/Lower 3x
F,40,67.5,1.62,intermediario,6,80,PPL 2x
F,27,73.4,1.68,avancado,3,50,PPL 1x
F,28,92.8,1.81,intermediario,4,60,Full Body 4x
M,25,110.6,1.77,intermediario,6,60,Upper/Lower 3x
M,30,74.2,1.76,intermediario,5,60,Bro Split
F,48,48.8,1.95,intermediario,6,90,PPL 2x
M,29,76.8,1.94,intermediario,5,60,Bro Split
F,27,93.2,1.52,intermediario,3,50,Full Body 3x
M,63,72.2,1.74,iniciante,4,80,Upper/Lower 2x
M,35,72.1,1.63,iniciante,3,60,Full Body 3x
F,38,84.7,1.96,intermediario,3,60,Full Body 3x
M,31,92.0,1.59,intermediario,5,80,UL PPL
F,35,88.6,1.88,intermediario,4,80,Upper/Lower 2x
F,46,51.8,1.75,intermediario,4,40,Full Body 4x
M,61,106.3,1.88,avancado,5,70,Bro Split
M,46,68.2,1.97,intermediario,3,60,Full Body 3x
F,26,67.2,1.87,avancado,4,70,Upper/Lower 2x
F,26,83.0,1.72,avancado,3,50,PPL 1x
M,18,95.5,1.56,avancado,4,60,Upper/Lower 2x
F,40,93.5,1.59,iniciante,4,60,Upper/Lower 2x
M,47,115.0,1.53,avancado,4,80,Upper/Lower 2x
F,39,67.5,1.57,iniciante,5,40,Upper/Lower 3x + Full Body
F,21,79.5,1.92,iniciante,4,50,Full Body 4x
M,30,109.6,1.82,iniciante,6,70,PPL 2x
M,29,64.4,1.64,avancado,3,70,PPL 1x
F,44,52.6,1.69,iniciante,6,50,PPL 2x
M,25,119.5,1.92,avancado,4,60,Upper/Lower 2x
M,27,66.2,1.55,intermediario,3,40,Full Body 3x
F,28,50.0,1.69,iniciante,3,50,Full Body 3x
M,31,58.6,1.96,avancado,3,70,PPL 1x
M,46,80.4,1.9,intermediario,3,70,Full Body 3x
M,25,55.6,1.73,intermediario,3,40,Full Body 3x
M,34,76.7,1.9,avancado,3,70,PPL 1x
F,26,49.5,1.88,iniciante,6,50,PPL 2x
M,22,90.1,1.69,iniciante,6,80,PPL 2x
F,41,52.1,1.56,avancado,5,60,Lower Focus (LULUL)
F,56,82.2,1.9,avancado,3,70,Full Body 3x
M,36,85.8,1.5,iniciante,4,60,Upper/Lower 2x
M,63,108.6,1.88,iniciante,4,50,Full Body 4x
F,24,45.8,1.67,iniciante,5,70,Upper/Lower 3x + Full Body
M,24,92.9,1.65,avancado,6,80,Arnold Split
M,31,68.5,1.59,intermediario,5,60,Bro Split
M,26,85.6,1.54,intermediario,5,70,Bro Split
M,19,72.6,1.67,intermediario,5,50,Bro Split
M,20,61.9,1.83,iniciante,3,50,Full Body 3x
F,32,94.7,1.85,intermediario,6,60,Upper/Lower 3x
F,37,51.3,1.73,avancado,3,60,PPL 1x
F,27,57.9,1.76,iniciante,3,90,Full Body 3x
M,23,86.9,1.81,intermediario,3,60,Full Body 3x
F,20,73.6,1.86,intermediario,4,60,Full Body 4x
M,60,109.2,1.89,avancado,5,60,Bro Split
F,35,67.5,1.98,intermediario,3,50,Full Body 3x
F,60,60.9,1.72,iniciante,3,50,Full Body 3x
M,67,103.3,1.75,avancado,4,80,Upper/Lower 2x
F,30,45.1,1.6,iniciante,3,40,Full Body 3x
F,36,57.4,1.65,intermediario,6,60,Upper/Lower 3x
M,38,55.2,1.76,avancado,3,50,PPL 1x
M,23,56.5,1.98,avancado,6,70,PPL 2x
M,44,108.3,1.57,intermediario,6,70,Arnold Split
F,38,82.0,1.81,intermediario,5,60,Lower Focus (LULUL)
M,64,116.3,1.93,intermediario,6,100,Arnold Split
M,31,58.3,1.96,avancado,5,70,UL PPL
M,27,112.9,1.86,iniciante,6,40,PPL 2x
M,22,75.7,1.83,intermediario,5,70,Bro Split
M,29,104.3,1.98,iniciante,3,50,Full Body 3x
M,27,59.4,1.6,avancado,5,60,UL PPL
F,19,63.8,1.79,intermediario,5,70,Lower Focus (LULUL)
F,43,66.6,1.57,iniciante,3,70,Full Body 3x
M,27,107.7,1.85,intermediario,3,70,Full Body 3x
M,24,97.4,1.76,intermediario,5,90,UL PPL
F,24,52.0,1.77,intermediario,3,60,Full Body 3x
M,42,85.4,1.89,intermediario,4,60,Full Body 4x
M,24,77.4,1.73,iniciante,3,50,Full Body 3x
M,22,90.9,1.67,intermediario,6,80,Arnold Split
F,39,62.3,1.51,intermediario,6,50,Upper/Lower 3x
F,19,75.1,1.61,iniciante,6,40,PPL 2x
M,22,89.0,1.73,iniciante,4,50,Full Body 4x
F,54,48.4,1.54,iniciante,5,80,Upper/Lower 3x + Full Body
M,43,87.4,1.71,avancado,4,90,Upper/Lower 2x
F,46,60.6,1.86,avancado,5,70,Lower Focus (LULUL)
F,53,65.9,1.61,intermediario,6,80,PPL 2x
M,19,76.6,1.5,intermediario,4,90,Upper/Lower 2x
M,29,71.9,1.67,avancado,3,60,PPL 1x
M,32,65.6,1.66,iniciante,4,80,Upper/Lower 2x
M,41,80.6,1.99,intermediario,6,70,PPL 2x
F,31,91.6,1.89,avancado,4,60,Upper/Lower 2x
F,22,89.2,1.7,intermediario,5,70,Lower Focus (LULUL)
F,28,86.5,1.83,intermediario,4,60,Full Body 4x
M,20,107.4,1.65,intermediario,5,90,UL PPL
F,23,88.2,1.91,iniciante,5,70,Upper/Lower 3x + Full Body
F,52,72.4,1.97,iniciante,5,70,Upper/Lower 3x + Full Body
F,32,75.2,1.88,iniciante,5,70,Upper/Lower 3x + Full Body
F,25,78.0,1.64,iniciante,3,70,Full Body 3x
F,23,83.7,1.77,iniciante,4,60,Upper/Lower 2x
F,17,56.7,1.61,intermediario,5,60,Lower Focus (LULUL)
M,51,102.1,1.76,iniciante,6,60,PPL 2x
F,65,58.0,1.89,iniciante,3,80,Full Body 3x
M,65,60.9,1.91,intermediario,4,70,Upper/Lower 2x
M,28,71.1,1.51,intermediario,3,60,Full Body 3x
F,45,45.2,1.97,intermediario,3,70,Full Body 3x
F,40,47.6,1.53,iniciante,4,50,Full Body 4x
M,33,60.2,1.9,iniciante,3,50,Full Body 3x
F,55,85.7,1.62,avancado,6,70,PPL 2x
F,38,83.1,1.78,iniciante,3,80,Full Body 3x
M,45,104.4,1.97,intermediario,3,70,Full Body 3x
F,27,87.3,1.82,avancado,5,80,Upper/Lower 2x + Full Body
M,56,60.0,1.98,iniciante,5,60,Upper/Lower 3x + Full Body
M,43,85.7,1.58,intermediario,6,60,Upper/Lower 3x
M,17,105.7,1.8,iniciante,4,60,Upper/Lower 2x
M,58,82.7,1.78,intermediario,6,90,PPL 2x
M,24,99.0,1.94,intermediario,6,60,Upper/Lower 3x
M,34,89.8,1.74,avancado,3,60,PPL 1x
M,32,113.5,1.5,avancado,3,70,PPL 1x
F,43,84.2,1.73,avancado,3,40,Full Body 3x
F,40,54.7,1.88,iniciante,6,90,PPL 2x
M,24,80.4,1.52,avancado,6,70,PPL 2x
F,50,64.9,1.74,intermediario,6,70,PPL 2x
F,30,76.0,1.56,intermediario,5,70,Lower Focus (LULUL)
M,57,60.8,1.53,iniciante,6,80,PPL 2x
F,49,48.6,1.74,iniciante,4,60,Upper/Lower 2x
F,62,89.6,1.58,avancado,3,70,Full Body 3x
M,51,73.8,1.93,intermediario,4,40,Full Body 4x
M,28,103.0,1.8,avancado,3,60,PPL 1x
M,26,61.6,1.96,intermediario,5,70,Bro Split
F,43,79.9,1.7,avancado,4,70,Upper/Lower 2x
F,57,56.6,1.77,iniciante,5,40,Upper/Lower 3x + Full Body
F,23,90.6,1.71,avancado,4,60,Upper/Lower 2x
F,49,87.8,1.56,intermediario,5,60,Upper/Lower 2x + Full Body
M,46,63.9,1.89,avancado,6,60,PPL 2x
M,22,93.5,1.88,intermediario,3,60,Full Body 3x
F,27,87.7,1.82,avancado,6,50,Upper/Lower 3x
M,44,65.0,1.89,intermediario,5,70,Bro Split
F,32,68.4,1.52,iniciante,3,40,Full Body 3x
F,26,51.1,1.69,iniciante,6,60,PPL 2x
M,40,86.3,1.86,iniciante,6,60,PPL 2x
M,62,105.5,1.94,iniciante,3,80,Full Body 3x
F,35,80.3,1.84,intermediario,4,70,Upper/Lower 2x
F,29,79.3,1.7,iniciante,6,50,PPL 2x
F,35,94.9,1.72,intermediario,4,40,Full Body 4x
F,40,79.2,1.57,avancado,4,80,Upper/Lower 2x
F,26,68.8,1.85,intermediario,4,50,Full Body 4x
F,36,75.4,1.7,intermediario,3,70,Full Body 3x
F,35,74.6,1.62,iniciante,5,70,Upper/Lower 3x + Full Body
F,46,45.3,1.89,intermediario,4,60,Full Body 4x
M,37,117.2,1.66,avancado,6,90,PPL 2x
F,46,54.6,1.83,iniciante,6,40,PPL 2x
F,34,70.0,1.67,iniciante,6,80,PPL 2x
M,38,70.7,1.89,iniciante,4,60,Upper/Lower 2x
M,51,84.6,1.6,iniciante,4,50,Full Body 4x
F,40,50.2,1.88,avancado,5,70,Lower Focus (LULUL)
M,34,118.0,1.55,iniciante,5,50,Upper/Lower 3x + Full Body
F,53,50.7,1.63,intermediario,4,40,Full Body 4x
M,25,109.3,1.98,iniciante,4,50,Full Body 4x
F,54,94.7,1.99,avancado,3,40,Full Body 3x
F,62,54.2,1.7,intermediario,3,40,Full Body 3x
M,36,84.3,1.94,avancado,4,80,Upper/Lower 2x
M,22,84.0,1.89,avancado,3,80,PPL 1x
M,28,68.6,1.71,intermediario,5,80,UL PPL
M,31,110.4,1.93,intermediario,5,70,Bro Split
M,32,114.5,1.5,iniciante,3,70,Full Body 3x
F,45,58.0,1.58,iniciante,5,50,Upper/Lower 3x + Full Body
M,38,63.3,1.85,avancado,6,50,Upper/Lower 3x
M,51,113.2,1.56,intermediario,5,70,Bro Split
F,28,48.0,1.92,intermediario,6,60,Upper/Lower 3x
M,29,84.5,1.58,intermediario,5,90,UL PPL
F,38,76.2,1.81,intermediario,6,70,PPL 2x
F,35,60.1,1.5,intermediario,5,70,Lower Focus (LULUL)
M,50,66.0,1.77,intermediario,3,70,Full Body 3x
M,50,93.7,1.58,avancado,5,70,Bro Split
M,58,95.3,1.64,intermediario,3,70,Full Body 3x
M,25,77.7,1.6,iniciante,3,90,Full Body 3x
M,27,57.6,1.9,avancado,5,60,UL PPL
M,61,95.2,1.86,avancado,5,60,Bro Split
M,43,69.7,1.7,intermediario,5,70,Bro Split
M,26,104.1,1.62,avancado,5,80,UL PPL
M,31,93.5,1.57,avancado,3,60,PPL 1x
M,45,63.0,1.92,avancado,5,40,Bro Split
M,52,83.9,1.67,intermediario,5,80,UL PPL
M,39,116.8,1.56,iniciante,6,60,PPL 2x
F,22,60.4,1.69,iniciante,3,60,Full Body 3x
F,38,77.0,1.78,avancado,5,70,Upper/Lower 2x + Full Body
M,47,66.8,1.72,intermediario,3,60,Full Body 3x
F,26,51.4,1.71,avancado,6,60,PPL 2x
F,41,57.6,1.55,avancado,3,80,Full Body 3x
F,32,85.4,1.61,iniciante,4,70,Upper/Lower 2x
F,52,60.8,1.57,iniciante,4,70,Upper/Lower 2x
M,21,110.9,1.68,iniciante,5,50,Upper/Lower 3x + Full Body
M,46,92.8,1.55,iniciante,3,60,Full Body 3x
F,33,76.9,1.63,intermediario,4,60,Full Body 4x
M,44,65.0,1.55,intermediario,5,70,Bro Split
M,41,93.4,1.87,avancado,5,70,Bro Split
M,34,83.0,1.82,avancado,4,90,Upper/Lower 2x
M,52,93.3,1.99,intermediario,3,60,Full Body 3x
M,39,65.8,1.73,intermediario,5,90,UL PPL
F,28,76.8,1.89,intermediario,4,80,Upper/Lower 2x
F,36,80.0,1.86,intermediario,6,70,PPL 2x
F,18,64.9,1.56,intermediario,4,60,Full Body 4x
F,56,81.9,1.54,intermediario,4,70,Upper/Lower 2x
F,25,45.4,1.55,iniciante,6,50,PPL 2x
F,53,67.4,1.78,iniciante,5,80,Upper/Lower 3x + Full Body
M,40,110.3,1.58,iniciante,5,40,Upper/Lower 3x + Full Body
M,37,93.6,1.89,intermediario,6,60,Upper/Lower 3x
F,49,47.0,1.7,iniciante,5,80,Upper/Lower 3x + Full Body
F,21,66.5,1.59,intermediario,5,70,Lower Focus (LULUL)
M,19,94.9,1.52,avancado,4,50,Full Body 4x
M,46,63.7,1.65,intermediario,3,80,Full Body 3x
M,26,100.2,1.71,iniciante,4,60,Upper/Lower 2x
F,41,65.0,1.7,avancado,6,80,PPL 2x
F,21,88.5,1.7,iniciante,5,40,Upper/Lower 3x + Full Body
M,37,85.1,1.6,intermediario,6,80,PPL 2x
M,41,98.8,1.6,avancado,4,70,Upper/Lower 2x
F,23,59.2,1.55,intermediario,4,80,Upper/Lower 2x
F,43,62.4,1.95,iniciante,4,60,Upper/Lower 2x
F,33,71.2,1.74,intermediario,3,60,Full Body 3x
F,42,75.2,1.59,avancado,5,80,Upper/Lower 2x + Full Body
F,48,61.4,1.67,intermediario,6,40,Upper/Lower 3x
F,22,76.0,1.78,iniciante,4,40,Full Body 4x
M,25,83.9,1.63,iniciante,6,50,PPL 2x
F,27,84.0,1.9,intermediario,6,70,PPL 2x
M,33,65.8,1.94,avancado,5,70,UL PPL
M,31,82.2,1.78,iniciante,6,50,PPL 2x
F,35,48.2,1.51,avancado,5,50,Lower Focus (LULUL)
F,52,69.1,1.97,iniciante,6,70,PPL 2x
M,26,109.3,1.52,avancado,6,60,PPL 2x
F,27,47.5,1.74,intermediario,6,70,PPL 2x
F,28,70.3,1.95,iniciante,4,60,Upper/Lower 2x
F,31,49.1,1.88,avancado,5,80,Lower Focus (LULUL)
F,27,87.5,1.57,avancado,4,60,Upper/Lower 2x
M,56,78.9,1.65,intermediario,5,80,UL PPL
M,45,116.0,1.57,intermediario,4,70,Upper/Lower 2x
F,23,61.7,1.85,intermediario,6,40,Upper/Lower 3x
F,62,65.6,1.94,iniciante,3,50,Full Body 3x
F,27,90.7,1.8,iniciante,3,60,Full Body 3x
M,40,56.4,1.7,intermediario,3,60,Full Body 3x
M,24,82.3,1.94,intermediario,5,70,Bro Split
F,39,70.4,1.75,iniciante,5,70,Upper/Lower 3x + Full Body
M,48,80.2,1.88,intermediario,4,60,Full Body 4x
F,48,94.4,1.51,avancado,5,80,Upper/Lower 2x + Full Body
F,50,73.6,1.57,iniciante,6,40,PPL 2x
F,40,83.2,1.88,intermediario,6,70,PPL 2x
F,33,64.5,1.59,iniciante,3,60,Full Body 3x
M,24,85.8,1.97,intermediario,4,70,Upper/Lower 2x
M,35,98.7,1.78,intermediario,4,60,Full Body 4x
F,37,80.1,1.98,avancado,4,60,Upper/Lower 2x
M,33,89.7,1.91,iniciante,5,50,Upper/Lower 3x + Full Body
M,38,57.0,1.86,intermediario,4,90,Upper/Lower 2x
M,22,117.2,1.65,avancado,3,50,PPL 1x
F,30,67.5,2.0,intermediario,3,70,Full Body 3x
F,49,54.5,1.68,avancado,4,90,Upper/Lower 2x
F,27,77.9,1.62,iniciante,4,70,Upper/Lower 2x
M,42,85.3,1.77,intermediario,3,60,Full Body 3x
F,31,78.2,1.84,iniciante,3,50,Full Body 3x
F,40,89.1,1.79,intermediario,4,80,Upper/Lower 2x
M,41,76.4,1.6,intermediario,3,50,Full Body 3x
M,21,81.8,1.65,intermediario,3,50,Full Body 3x
M,35,88.6,1.95,avancado,3,60,PPL 1x
M,31,94.0,1.71,iniciante,5,80,Upper/Lower 3x + Full Body
F,50,82.6,1.52,avancado,6,50,Upper/Lower 3x
F,35,92.6,1.59,intermediario,5,40,Lower Focus (LULUL)
M,32,82.5,1.8,iniciante,6,80,PPL 2x
F,25,65.3,1.57,intermediario,4,80,Upper/Lower 2x
M,27,84.7,1.82,avancado,6,50,Upper/Lower 3x
